index,id,pickup_datetime,dropoff_datetime,trip_duration,origin,destination,status,dist,treq,ttrav,pax_id,tarr,VoT,WtS,delay_value,delta,true_u,u,ride_id,ttrav_sh,u_sh,kind,position
0,id3239601,2016-01-03 16:00:00,2016-01-03 16:13:32,812,42431563,42431116,0,4086,0,681,id3239601,2016-01-03 17:08:06,0.00444,1.14756,1,513.8854113969663,9.15264,9.15264,696,743,7.3520825256,21,0
1,id0535376,2016-01-03 16:00:21,2016-01-03 16:06:57,396,42427821,42430317,0,1790,21,298,id0535376,2016-01-03 16:30:11,0.00444,1.14756,1,225.166426910022,4.00812,4.00812,1,298,4.00812,1,0
2,id3211781,2016-01-03 16:00:25,2016-01-03 16:26:05,1540,42436407,42436929,0,17131,25,2855,id3211781,2016-01-03 20:45:56,0.00444,1.14756,1,2154.541984732825,38.3727,38.3727,3160,3886,33.679837826400004,42,0
3,id2615108,2016-01-03 16:00:26,2016-01-03 16:13:59,813,42422006,42444453,0,4758,26,793,id2615108,2016-01-03 17:19:44,0.00444,1.14756,1,598.401073770623,10.65792,10.65792,783,960,9.8126264232,21,0
4,id3014559,2016-01-03 16:00:51,2016-01-03 16:11:51,660,42435275,42446971,0,3675,51,612,id3014559,2016-01-03 17:02:06,0.00444,1.14756,1,462.2593215405095,8.22978,8.22978,789,665,7.2094254336,21,0
5,id2688882,2016-01-03 16:01:24,2016-01-03 16:08:00,396,42429766,42430782,0,2097,84,349,id2688882,2016-01-03 16:36:21,0.00444,1.14756,1,263.7984357880834,4.69506,4.69506,175,364,4.476994848,20,0
6,id1430148,2016-01-03 16:01:43,2016-01-03 16:04:46,183,42435422,42429661,0,1021,103,170,id1430148,2016-01-03 16:18:44,0.00444,1.14756,1,128.42990015007166,2.2863,2.2863,6,170,2.2863,1,0
7,id1853792,2016-01-03 16:01:56,2016-01-03 16:13:32,696,42436516,42454378,0,3819,116,636,id1853792,2016-01-03 17:05:35,0.00444,1.14756,1,480.3698206205788,8.552340000000001,8.552340000000001,1306,666,8.290602216,30,0
8,id1374067,2016-01-03 16:01:58,2016-01-03 16:12:10,612,42435687,42442977,0,2794,118,465,id1374067,2016-01-03 16:48:32,0.00444,1.14756,1,351.4797130079991,6.255599999999999,6.255599999999999,2157,626,5.5270945704,32,0
9,id0196952,2016-01-03 16:02:03,2016-01-03 16:10:06,483,42427477,42427787,0,1506,123,251,id0196952,2016-01-03 16:27:09,0.00444,1.14756,1,189.4056362123914,3.37344,3.37344,9,251,3.37344,1,0
10,id2150651,2016-01-03 16:02:15,2016-01-03 16:08:46,391,42456041,42447126,0,2623,135,437,id2150651,2016-01-03 16:45:58,0.00444,1.14756,1,329.90920241584257,5.87478,5.87478,798,533,4.973398176,21,0
11,id2703404,2016-01-03 16:02:15,2016-01-03 16:16:16,841,42439275,42427991,0,6047,135,1007,id2703404,2016-01-03 17:43:02,0.00444,1.14756,1,760.6223488991448,13.54158,13.54158,2640,1053,11.3780584752,40,0
12,id1196797,2016-01-03 16:02:16,2016-01-03 16:06:29,253,5812723033,42428420,0,947,136,157,id1196797,2016-01-03 16:18:03,0.00444,1.14756,1,119.20883981335723,2.1175800000000002,2.1175800000000002,12,157,2.1175800000000002,1,0
13,id0029432,2016-01-03 16:02:20,2016-01-03 16:10:54,514,42435624,42435687,0,2236,140,372,id0029432,2016-01-03 16:39:36,0.00444,1.14756,1,281.3015290727306,5.00568,5.00568,1017,372,4.7366474232,21,1
14,id1476422,2016-01-03 16:02:20,2016-01-03 16:09:21,421,1061531803,42441899,0,2226,140,371,id1476422,2016-01-03 16:39:26,0.00444,1.14756,1,279.95813161273793,4.9862400000000004,4.9862400000000004,696,371,3.9852531288,21,1
15,id0124445,2016-01-03 16:02:25,2016-01-03 16:15:06,761,42440452,42439440,0,2109,145,351,id0124445,2016-01-03 16:37:34,0.00444,1.14756,1,265.3076440447558,4.72194,4.72194,2674,396,3.632554476,40,0
16,id3864931,2016-01-03 16:02:51,2016-01-03 16:07:33,282,42453038,42453934,0,1355,171,225,id3864931,2016-01-03 16:25:26,0.00444,1.14756,1,170.52192054022026,3.0315000000000003,3.0315000000000003,16,225,3.0315000000000003,1,0
17,id2796261,2016-01-03 16:02:55,2016-01-03 16:04:59,124,42440743,42446571,0,834,175,139,id2796261,2016-01-03 16:16:49,0.00444,1.14756,1,104.88997383873468,1.86816,1.86816,17,139,1.86816,1,0
18,id2237328,2016-01-03 16:03:00,2016-01-03 16:18:06,906,42421775,42429661,0,5294,180,882,id2237328,2016-01-03 17:31:14,0.00444,1.14756,1,665.855237858375,11.85708,11.85708,1522,1259,11.3049920328,30,2
