,id,pickup_datetime,dropoff_datetime,trip_duration,origin,destination,status,dist,treq,ttrav,pax_id,VoT,delta,u,u_PT,ride_id,ttrav_sh,u_sh,kind,position
0,id0190469,2016-01-01 00:00:17,2016-01-01 00:14:26,849,42427352,42438018,0,14340,0,2390,id0190469,0.0046,915.1222480362871,32.504000000000005,999999,1738,2848,31.476632747999997,50,0
1,id1210365,2016-01-01 00:01:01,2016-01-01 00:07:49,408,42432756,42434113,0,2640,44,440,id1210365,0.0046,168.47438875981854,5.984,999999,1,440,5.984,1,0
2,id3888279,2016-01-01 00:01:14,2016-01-01 00:05:54,280,42445649,4461990857,0,1067,57,177,id3888279,0.0046,68.19888701471706,2.4147,999999,2,177,2.4147,1,0
3,id0924227,2016-01-01 00:01:20,2016-01-01 00:13:36,736,4862610026,42428212,0,2905,63,484,id0924227,0.0046,185.40707467034025,6.5839,999999,342,575,6.460339295999999,20,0
4,id2294362,2016-01-01 00:01:33,2016-01-01 00:13:25,712,42442415,42449634,0,9301,76,1550,id2294362,0.0046,593.5745710748098,21.0815,999999,1569,1871,19.885463591999997,42,1
5,id1078247,2016-01-01 00:01:37,2016-01-01 00:03:31,114,5706568771,42440951,0,330,80,55,id1078247,0.0046,21.059298594977317,0.748,999999,5,55,0.748,1,0
6,id3609443,2016-01-01 00:01:47,2016-01-01 00:21:51,1204,42435645,42438247,0,7978,90,1329,id3609443,0.0046,509.2102214604295,18.0804,999999,1569,1514,16.685693423999997,42,0
7,id2914314,2016-01-01 00:02:06,2016-01-01 00:23:56,1310,42437283,42438928,0,10070,109,1678,id2914314,0.0046,642.6705493849333,22.8238,999999,1738,1935,21.598223675999996,50,1
8,id3675972,2016-01-01 00:02:45,2016-01-01 00:10:10,445,42430265,42427390,0,1317,148,219,id3675972,0.0046,84.11003914543828,2.9829,999999,8,219,2.9829,1,0
9,id0566105,2016-01-01 00:03:31,2016-01-01 00:26:35,1384,42436159,42431674,0,5765,194,960,id0566105,0.0046,368.006719739576,13.063500000000001,999999,1116,1045,11.588046635999998,32,0
10,id3968582,2016-01-01 00:04:42,2016-01-01 00:22:33,1071,42427371,42445027,0,3530,265,588,id3968582,0.0046,225.3135408662917,7.9998000000000005,999999,991,588,7.813387728,21,1
11,id3266337,2016-01-01 00:04:57,2016-01-01 00:08:37,220,42435328,42437918,0,1353,280,225,id3266337,0.0046,86.40741717398123,3.0645,999999,11,225,3.0645,1,0
